radius_au,normalised_surface_density
3.555000000000008242e+01,5.606699910497411898e-02
3.565000000000007674e+01,4.193229631518587130e-02
3.575000000000008527e+01,2.787666878575911777e-02
3.585000000000007958e+01,1.389945479903657855e-02
3.595000000000008811e+01,4.158237451005251939e-02
3.605000000000008242e+01,2.764468541167621959e-02
3.615000000000009095e+01,1.378410662643013776e-02
3.625000000000008527e+01,8.247648902821512473e-02
3.635000000000009379e+01,1.096661247967982561e-01
3.645000000000008811e+01,6.835328594587837536e-02
3.655000000000009663e+01,1.635990548439300030e-01
3.665000000000009095e+01,1.359605605853904109e-01
3.675000000000009948e+01,9.491341991342040763e-02
3.685000000000009379e+01,4.056679412853120975e-02
3.695000000000010232e+01,0.000000000000000000e+00
3.705000000000009663e+01,1.344927002821715532e-02
3.715000000000010516e+01,4.023920225131592115e-02
3.725000000000009948e+01,2.675411836485709280e-02
3.735000000000010800e+01,5.336497505172149713e-02
3.745000000000010232e+01,5.322247845612452372e-02
3.755000000000011084e+01,6.635092603800957223e-02
3.765000000000010516e+01,1.323493903175214370e-02
3.775000000000011369e+01,1.319987959060806362e-02
3.785000000000010800e+01,1.053200432328572078e-01
3.795000000000011653e+01,7.878189004671255768e-02
3.805000000000011084e+01,7.857484171544674989e-02
3.815000000000011937e+01,1.306147980459919644e-01
3.825000000000011369e+01,1.302733214497935887e-01
3.835000000000012221e+01,6.496681284816778479e-02
3.845000000000011653e+01,1.036765575127100991e-01
3.855000000000012506e+01,6.462976064143502453e-02
3.865000000000011937e+01,5.157003410560937612e-02
3.875000000000012790e+01,1.028739002932575891e-01
3.885000000000012221e+01,1.282613782613778730e-01
3.895000000000013074e+01,1.151388726805927520e-01
3.905000000000012506e+01,1.786462577115589256e-01
3.915000000000013358e+01,4.582027168234084069e-01
3.925000000000012790e+01,7.871163867979206197e-01
3.935000000000013642e+01,7.091371144738424226e-01
3.945000000000013074e+01,6.947084917617314392e-01
3.955000000000013927e+01,8.441414779910468846e-01
3.965000000000013358e+01,6.912042875157737853e-01
3.975000000000014211e+01,6.393224699828404800e-01
3.985000000000013642e+01,3.751283221170374493e-01
3.995000000000014495e+01,1.496757310274197672e-01
4.005000000000013927e+01,7.465100442628506971e-02
4.015000000000014779e+01,6.205422846145305926e-02
4.025000000000014211e+01,9.904009034443829462e-02
4.035000000000015064e+01,1.358426270136312008e-01
4.045000000000014495e+01,1.108691987863811290e-01
4.055000000000015348e+01,9.830736464521994122e-02
4.065000000000014779e+01,4.903276305490378295e-02
4.075000000000015632e+01,1.100529838259882709e-01
4.085000000000015064e+01,1.097835762768459705e-01
4.095000000000015916e+01,2.068625818625854096e-01
4.105000000000015348e+01,9.710995460081858766e-02
4.115000000000016200e+01,1.210924555396027391e-01
4.125000000000015632e+01,1.087190082644623884e-01
4.135000000000016485e+01,7.230405628229075177e-02
4.145000000000015916e+01,2.043672551814893490e-01
4.155000000000016769e+01,2.158680669511000849e-01
4.165000000000016200e+01,1.914220233547974936e-01
4.175000000000017053e+01,2.625748502994031952e-01
4.185000000000016485e+01,1.547871184967974101e-01
4.195000000000017337e+01,1.544181384765431764e-01
4.205000000000016769e+01,1.540509134147681480e-01
4.215000000000017621e+01,2.955489054243470859e-01
4.225000000000017053e+01,2.830554061323344306e-01
4.235000000000017906e+01,2.470886551465048264e-01
4.245000000000017337e+01,2.934602205803685804e-01
4.255000000000018190e+01,3.513246448029050395e-01
4.265000000000017621e+01,4.439678141319408633e-01
4.275000000000018474e+01,3.613370547581083447e-01
4.285000000000017906e+01,5.698127718256099650e-01
4.295000000000018758e+01,5.684860831834095407e-01
4.305000000000018190e+01,5.555907507127069156e-01
4.315000000000019043e+01,6.813309807226453074e-01
4.325000000000018474e+01,4.954151339989426583e-01
4.335000000000019327e+01,4.367987836846035643e-01
4.345000000000018758e+01,5.963489904801861918e-01
4.355000000000019611e+01,4.805604842918244635e-01
4.365000000000019043e+01,6.278636884306960653e-01
4.375000000000019895e+01,7.061558441558609678e-01
4.385000000000019327e+01,1.000000000000000000e+00
4.395000000000020179e+01,9.637113455372862125e-01
4.405000000000019611e+01,9.954597048808214721e-01
4.415000000000020464e+01,8.013358385668741812e-01
4.425000000000019895e+01,5.968284540318489206e-01
4.435000000000020748e+01,5.617761607051406925e-01
4.445000000000020179e+01,3.811483791798703225e-01
4.455000000000021032e+01,3.579226609529692071e-01
4.465000000000020464e+01,4.129212053344261113e-01
4.475000000000021316e+01,2.561071609954274630e-01
4.485000000000020748e+01,2.666463970811784323e-01
4.495000000000021600e+01,3.325664880169961757e-01
4.505000000000021032e+01,2.433407325194227588e-01
4.515000000000021885e+01,3.310933252793723525e-01
4.525000000000021316e+01,3.413736815670530000e-01
4.535000000000022169e+01,2.197554375062656662e-01
4.545000000000021600e+01,2.850535053505372507e-01
4.555000000000022453e+01,5.141577686857649043e-01
4.565000000000021885e+01,2.838046400477978737e-01
4.575000000000022737e+01,3.376428216592030074e-01
4.585000000000022169e+01,2.499628234361098433e-01
4.595000000000023022e+01,3.361732119893224291e-01
4.605000000000022453e+01,3.246224459579572508e-01
4.615000000000023306e+01,2.699325322564685159e-01
4.625000000000022737e+01,3.016707616707688389e-01
4.635000000000023590e+01,1.612606649014457494e-01
4.645000000000023022e+01,2.789167237498717533e-01
4.655000000000023874e+01,2.247949419002117089e-01
4.665000000000023306e+01,2.456762155315168061e-01
